onbook_date,price,cont_vol_ask,cont_vol_bid,close_vol_ask,close_vol_bid,cum_ask,cum_bid,total,,difference,
03/01/2019,16.9,,1600,,1600,4570468, 815'795.00 , 5'386'263.00 , -1'385'302.00 , 3'754'673.00 , 3'745'659.00 
03/01/2019,17,,39638,,42853,4570468, 858'648.00 , 5'429'116.00 , -1'342'449.00 , 3'711'820.00 , 3'702'806.00 
03/01/2019,17.05,,2000,,2000,4570468, 860'648.00 , 5'431'116.00 , -1'340'449.00 , 3'709'820.00 , 3'700'806.00 
03/01/2019,17.1,,4335,,4335,4570468, 864'983.00 , 5'435'451.00 , -1'336'114.00 , 3'705'485.00 , 3'696'471.00 
03/01/2019,17.15,,1350,,1350,4570468, 866'333.00 , 5'436'801.00 , -1'334'764.00 , 3'704'135.00 , 3'695'121.00 
03/01/2019,17.2,,4500,,4500,4570468, 870'833.00 , 5'441'301.00 , -1'330'264.00 , 3'699'635.00 , 3'690'621.00 
03/01/2019,17.205,,550,,550,4570468, 871'383.00 , 5'441'851.00 , -1'329'714.00 , 3'699'085.00 , 3'690'071.00 
03/01/2019,17.22,,115,,115,4570468, 871'498.00 , 5'441'966.00 , -1'329'599.00 , 3'698'970.00 , 3'689'956.00 
03/01/2019,17.24,,1500,,1500,4570468, 872'998.00 , 5'443'466.00 , -1'328'099.00 , 3'697'470.00 , 3'688'456.00 
03/01/2019,17.27,,1500,,1500,4570468, 874'498.00 , 5'444'966.00 , -1'326'599.00 , 3'695'970.00 , 3'686'956.00 
03/01/2019,17.3,,3653,,3653,4570468, 878'151.00 , 5'448'619.00 , -1'322'946.00 , 3'692'317.00 , 3'683'303.00 
03/01/2019,17.33,,1500,,1500,4570468, 879'651.00 , 5'450'119.00 , -1'321'446.00 , 3'690'817.00 , 3'681'803.00 
03/01/2019,17.35,,800,,800,4570468, 880'451.00 , 5'450'919.00 , -1'320'646.00 , 3'690'017.00 , 3'681'003.00 
03/01/2019,17.36,,1500,,1500,4570468, 881'951.00 , 5'452'419.00 , -1'319'146.00 , 3'688'517.00 , 3'679'503.00 
03/01/2019,17.39,,1500,,1500,4570468, 883'451.00 , 5'453'919.00 , -1'317'646.00 , 3'687'017.00 , 3'678'003.00 
03/01/2019,17.4,,3775,,3775,4570468, 887'226.00 , 5'457'694.00 , -1'313'871.00 , 3'683'242.00 , 3'674'228.00 
03/01/2019,17.42,,1500,,1500,4570468, 888'726.00 , 5'459'194.00 , -1'312'371.00 , 3'681'742.00 , 3'672'728.00 
03/01/2019,17.45,,1620,,1620,4570468, 890'346.00 , 5'460'814.00 , -1'310'751.00 , 3'680'122.00 , 3'671'108.00 
03/01/2019,17.48,,2000,,2000,4570468, 892'346.00 , 5'462'814.00 , -1'308'751.00 , 3'678'122.00 , 3'669'108.00 
